Date,Song,Last Played
07.25.1995,All Along the Watchtower,1
07.26.1995,Recently,1
07.26.1995,Rhyme & Reason,5
07.26.1995,Two Step,1
07.26.1995,The Best of What's Around,1
07.26.1995,Tripping Billies,1
07.26.1995,Dancing Nancies,1
07.26.1995,Lie in Our Graves,1
07.26.1995,True Reflections,2
07.26.1995,Satellite,4
07.26.1995,Minarets,11
07.26.1995,Typical Situation,1
07.26.1995,Jimi Thing,1
07.26.1995,#36,1
07.26.1995,Ants Marching,1
07.26.1995,Hold Me Down,-1
07.26.1995,All Along the Watchtower,1
07.27.1995,Seek Up,2
07.27.1995,Drive In Drive Out,2
07.27.1995,Proudest Monkey,26
07.27.1995,Satellite,1
07.27.1995,Dancing Nancies,1
07.27.1995,Lie in Our Graves,1
07.27.1995,Tripping Billies,1
07.27.1995,Say Goodbye,5
07.27.1995,Rhyme & Reason,1
07.27.1995,#41,5
07.27.1995,Jimi Thing,1
07.27.1995,Typical Situation,1
07.27.1995,Angel From Montgomery,2
07.27.1995,#36,1
07.27.1995,Ants Marching,1
07.27.1995,Christmas Song,10
07.27.1995,Recently,1
07.28.1995,Seek Up,1
07.28.1995,Drive In Drive Out,1
07.28.1995,The Best of What's Around,2
07.28.1995,Tripping Billies,1
07.28.1995,Rhyme & Reason,1
07.28.1995,Recently,1
07.28.1995,All Along the Watchtower,2
07.28.1995,Pay for What You Get,6
07.28.1995,Dancing Nancies,1
07.28.1995,Jimi Thing,1
07.28.1995,Proudest Monkey,1
07.28.1995,Satellite,1
07.28.1995,What Would You Say,4
07.28.1995,#36,1
07.28.1995,Ants Marching,1
07.28.1995,Hold Me Down,2
07.28.1995,Exodus,208
07.30.1995,Seek Up,1
07.30.1995,Drive In Drive Out,1
07.30.1995,Proudest Monkey,1
07.30.1995,Satellite,1
07.30.1995,Dancing Nancies,1
07.30.1995,Lie in Our Graves,2
07.30.1995,Rhyme & Reason,1
07.30.1995,Granny,46
07.30.1995,Warehouse,5
07.30.1995,Typical Situation,2
07.30.1995,Jimi Thing,1
07.30.1995,Tripping Billies,1
07.30.1995,What Would You Say,1
07.30.1995,True Reflections,3
07.30.1995,Two Step,3
07.30.1995,Ants Marching,1
07.30.1995,I'll Back You Up,4
07.30.1995,Recently,1
07.31.1995,Seek Up,1
07.31.1995,Drive In Drive Out,1
07.31.1995,#41,3
07.31.1995,Proudest Monkey,1
07.31.1995,Satellite,1
07.31.1995,Tripping Billies,1
07.31.1995,Don't Burn the Pig,8
07.31.1995,Warehouse,1
07.31.1995,Jimi Thing,1
07.31.1995,Granny,1
07.31.1995,Rhyme & Reason,1
07.31.1995,Angel From Montgomery,3
07.31.1995,Dancing Nancies,1
07.31.1995,Hold Me Down,2
07.31.1995,#36,2
07.31.1995,Ants Marching,1
07.31.1995,True Reflections,1
08.02.1995,One Sweet World,11
08.02.1995,Proudest Monkey,1
08.02.1995,Satellite,1
08.02.1995,Drive In Drive Out,1
08.02.1995,Dancing Nancies,1
08.02.1995,Warehouse,1
08.02.1995,Jimi Thing,1
08.02.1995,Exodus,3
08.02.1995,What Would You Say,2
08.02.1995,Two Step,2
08.02.1995,The Best of What's Around,3
08.02.1995,Recently,2
08.02.1995,Tripping Billies,1
08.02.1995,Typical Situation,2
08.02.1995,Pay for What You Get,3
08.02.1995,Ants Marching,1
08.03.1995,Satellite,1
08.03.1995,One Sweet World,1
08.03.1995,The Best of What's Around,1
08.03.1995,Seek Up,2
08.03.1995,Tripping Billies,1
08.03.1995,Warehouse,1
08.03.1995,Pay for What You Get,1
08.03.1995,True Reflections,2
08.03.1995,What Would You Say,1
08.03.1995,Rhyme & Reason,2
08.03.1995,Jimi Thing,1
08.03.1995,All Along the Watchtower,4
08.03.1995,Ants Marching,1
08.03.1995,Dancing Nancies,1
08.03.1995,Drive In Drive Out,1
08.04.1995,Seek Up,1
08.04.1995,Proudest Monkey,2
08.04.1995,Satellite,1
08.04.1995,Tripping Billies,1
08.04.1995,Don't Burn the Pig,3
08.04.1995,Recently,2
08.04.1995,Lover Lay Down,11
08.04.1995,Dancing Nancies,1
08.04.1995,Warehouse,1
08.04.1995,Jimi Thing,1
08.04.1995,Pay for What You Get,1
08.04.1995,Rhyme & Reason,1
08.04.1995,Two Step,2
08.04.1995,Ants Marching,1
08.04.1995,I'll Back You Up,4
08.04.1995,Drive In Drive Out,1
08.05.1995,Seek Up,1
08.05.1995,Proudest Monkey,1
08.05.1995,Satellite,1
08.05.1995,Tripping Billies,1
08.05.1995,The Best of What's Around,2
08.05.1995,Drive In Drive Out,1
08.05.1995,Lover Lay Down,1
08.05.1995,Jimi Thing,1
08.05.1995,The Song That Jane Likes,9
08.05.1995,What Would You Say,2
08.05.1995,Dancing Nancies,1
08.05.1995,Lie in Our Graves,5
08.05.1995,Rhyme & Reason,1
08.05.1995,Two Step,1
08.05.1995,Ants Marching,1
08.05.1995,Typical Situation,3
08.05.1995,Recently,1
08.07.1995,Proudest Monkey,1
08.07.1995,Satellite,1
08.07.1995,Tripping Billies,1
08.07.1995,Dancing Nancies,1
08.07.1995,Lie in Our Graves,1
08.07.1995,Recently,1
08.07.1995,The Best of What's Around,1
08.07.1995,True Reflections,3
08.07.1995,Say Goodbye,8
08.07.1995,Jimi Thing,1
08.07.1995,Rhyme & Reason,1
08.07.1995,#41,5
08.07.1995,Two Step,1
08.07.1995,Ants Marching,1
08.07.1995,Any Noise,311
08.07.1995,All Along the Watchtower,3
08.07.1995,Drive In Drive Out,1
08.08.1995,Seek Up,2
08.08.1995,Satellite,1
08.08.1995,Tripping Billies,1
08.08.1995,Dancing Nancies,1
08.08.1995,Lie in Our Graves,1
08.08.1995,What Would You Say,2
08.08.1995,Recently,1
08.08.1995,True Reflections,1
08.08.1995,Rhyme & Reason,1
08.08.1995,Jimi Thing,1
08.08.1995,Two Step,1
08.08.1995,Ants Marching,1
08.08.1995,Warehouse,3
08.09.1995,One Sweet World,5
08.09.1995,Proudest Monkey,2
08.09.1995,Satellite,1
08.09.1995,Tripping Billies,1
08.09.1995,The Best of What's Around,2
08.09.1995,Dancing Nancies,1
08.09.1995,Lie in Our Graves,1
08.09.1995,Warehouse,1
08.09.1995,Rhyme & Reason,1
08.09.1995,Jimi Thing,1
08.09.1995,Granny,7
08.09.1995,Two Step,1
08.09.1995,Ants Marching,1
08.09.1995,I'll Back You Up,4
08.09.1995,Drive In Drive Out,2
08.11.1995,Seek Up,2
08.11.1995,Proudest Monkey,1
08.11.1995,Satellite,1
08.11.1995,Dancing Nancies,1
08.11.1995,Warehouse,1
08.11.1995,Say Goodbye,3
08.11.1995,Tripping Billies,1
08.11.1995,Jimi Thing,1
08.11.1995,Eyes of the World,-1
08.11.1995,#41,3
08.11.1995,Recently,2
08.11.1995,Two Step,1
08.11.1995,Ants Marching,1
08.11.1995,Typical Situation,4
08.11.1995,All Along the Watchtower,3
08.12.1995,Proudest Monkey,1
08.12.1995,Satellite,1
08.12.1995,Two Step,1
08.12.1995,The Best of What's Around,2
08.12.1995,Tripping Billies,1
08.12.1995,Dancing Nancies,1
08.12.1995,Warehouse,1
08.12.1995,What Would You Say,3
08.12.1995,Jimi Thing,1
08.12.1995,Minarets,13
08.12.1995,Blue Water,91
08.12.1995,Rhyme & Reason,2
08.12.1995,Lover Lay Down,5
08.12.1995,Recently,1
08.12.1995,Drive In Drive Out,2
08.12.1995,Ants Marching,1
08.12.1995,All Along the Watchtower,1
08.13.1995,Dancing Nancies,1
08.13.1995,Pay for What You Get,7
08.13.1995,Satellite,1
08.13.1995,Recently,1
08.13.1995,Jimi Thing,1
08.13.1995,Tripping Billies,1
08.14.1995,Ants Marching,2
08.15.1995,Seek Up,4
08.15.1995,Proudest Monkey,3
08.15.1995,Satellite,2
08.15.1995,Two Step,3
08.15.1995,The Best of What's Around,3
08.15.1995,Recently,2
08.15.1995,Lie in Our Graves,5
08.15.1995,Dancing Nancies,2
08.15.1995,Warehouse,3
08.15.1995,Tripping Billies,2
08.15.1995,Drive In Drive Out,3
08.15.1995,Lover Lay Down,3
08.15.1995,Rhyme & Reason,3
08.15.1995,#36,12
08.15.1995,Ants Marching,1
08.15.1995,Typical Situation,4
08.15.1995,All Along the Watchtower,3
08.17.1995,Seek Up,1
08.17.1995,Proudest Monkey,1
08.17.1995,Satellite,1
08.17.1995,Two Step,1
08.17.1995,The Best of What's Around,1
08.17.1995,#41,5
08.17.1995,Dancing Nancies,1
08.17.1995,Warehouse,1
08.17.1995,Rhyme & Reason,1
08.17.1995,Lover Lay Down,1
08.17.1995,What Would You Say,4
08.17.1995,Recently,1
08.17.1995,All Along the Watchtower,1
08.17.1995,Ants Marching,1
08.17.1995,Typical Situation,1
08.17.1995,Tripping Billies,1
08.18.1995,Seek Up,1
08.18.1995,Proudest Monkey,1
08.18.1995,Satellite,1
08.18.1995,Dancing Nancies,1
08.18.1995,Jimi Thing,4
08.18.1995,All Along the Watchtower,1
08.18.1995,Ants Marching,1
08.19.1995,Seek Up,1
08.19.1995,Proudest Monkey,1
08.19.1995,Satellite,1
08.19.1995,Warehouse,2
08.19.1995,Tripping Billies,2
08.19.1995,Rhyme & Reason,2
08.19.1995,What Would You Say,2
08.19.1995,Two Step,2
08.19.1995,Ants Marching,1
08.20.1995,Proudest Monkey,1
08.20.1995,Satellite,1
08.20.1995,Drive In Drive Out,4
08.20.1995,Dancing Nancies,2
08.20.1995,Warehouse,1
08.20.1995,Recently,3
08.20.1995,Say Goodbye,8
08.20.1995,True Reflections,10
08.20.1995,Lover Lay Down,3
08.20.1995,Rhyme & Reason,1
08.20.1995,Jimi Thing,2
08.20.1995,#41,3
08.20.1995,Two Step,1
08.20.1995,Ants Marching,1
08.20.1995,Raven,-1
08.20.1995,Typical Situation,3
08.20.1995,Halloween,57
08.21.1995,Proudest Monkey,1
08.21.1995,Satellite,1
08.21.1995,One Sweet World,10
08.21.1995,Dancing Nancies,1
08.21.1995,Lie in Our Graves,5
08.21.1995,Warehouse,1
08.21.1995,Drive In Drive Out,1
08.21.1995,Lover Lay Down,1
08.21.1995,Rhyme & Reason,1
08.21.1995,Jimi Thing,1
08.21.1995,What Would You Say,2
08.21.1995,Recently,1
08.21.1995,#36,5
08.21.1995,Ants Marching,1
08.21.1995,Tripping Billies,2
08.23.1995,Proudest Monkey,1
08.23.1995,Satellite,1
08.23.1995,One Sweet World,1
08.23.1995,Drive In Drive Out,1
08.23.1995,Dancing Nancies,1
08.23.1995,Warehouse,1
08.23.1995,Tripping Billies,1
08.23.1995,Lover Lay Down,1
08.23.1995,Rhyme & Reason,1
08.23.1995,Exodus,17
08.23.1995,Jimi Thing,1
08.23.1995,Pay for What You Get,8
08.23.1995,Two Step,2
08.23.1995,Ants Marching,1
08.23.1995,Typical Situation,2
08.23.1995,All Along the Watchtower,4
08.24.1995,Seek Up,4
08.24.1995,Proudest Monkey,1
08.24.1995,Satellite,1
08.24.1995,Drive In Drive Out,1
08.24.1995,Recently,2
08.24.1995,Dancing Nancies,1
08.24.1995,Lie in Our Graves,2
08.24.1995,Warehouse,1
08.24.1995,Lover Lay Down,1
08.24.1995,What Would You Say,2
08.24.1995,Jimi Thing,1
08.24.1995,Rhyme & Reason,1
08.24.1995,Two Step,1
08.24.1995,Ants Marching,1
08.24.1995,Tripping Billies,1
08.25.1995,The Best of What's Around,7
08.25.1995,One Sweet World,2
08.25.1995,Proudest Monkey,1
08.25.1995,Satellite,1
08.25.1995,Dancing Nancies,1
08.25.1995,Warehouse,1
08.25.1995,Help Myself,70
08.25.1995,Lover Lay Down,1
08.25.1995,Recently,1
08.25.1995,What Would You Say,1
08.25.1995,Minarets,11
08.25.1995,Rhyme & Reason,1
08.25.1995,Say Goodbye,4
08.25.1995,Two Step,1
08.25.1995,Ants Marching,1
08.25.1995,I'll Back You Up,13
08.25.1995,Drive In Drive Out,1
08.25.1995,Tripping Billies,1
08.26.1995,The Best of What's Around,1
08.26.1995,Proudest Monkey,1
08.26.1995,Satellite,1
08.26.1995,One Sweet World,1
08.26.1995,Dancing Nancies,1
08.26.1995,Warehouse,1
08.26.1995,Rhyme & Reason,1
08.26.1995,Lover Lay Down,1
08.26.1995,Help Myself,1
08.26.1995,Jimi Thing,2
08.26.1995,What Would You Say,1
08.26.1995,Say Goodbye,1
08.26.1995,True Reflections,5
08.26.1995,All Along the Watchtower,3
08.26.1995,Ants Marching,1
08.26.1995,Typical Situation,3
08.26.1995,Recently,1
08.27.1995,The Best of What's Around,1
08.27.1995,Seek Up,3
08.27.1995,Proudest Monkey,1
08.27.1995,Satellite,1
08.27.1995,Drive In Drive Out,2
08.27.1995,Dancing Nancies,1
08.27.1995,Lie in Our Graves,3
08.27.1995,Warehouse,1
08.27.1995,The Song That Jane Likes,18
08.27.1995,Help Myself,1
08.27.1995,Lover Lay Down,1
08.27.1995,Jimi Thing,1
08.27.1995,Rhyme & Reason,1
08.27.1995,Two Step,2
08.27.1995,Ants Marching,1
08.27.1995,All Along the Watchtower,1
08.27.1995,Tripping Billies,2
08.29.1995,The Best of What's Around,1
08.29.1995,Proudest Monkey,1
08.29.1995,Satellite,1
08.29.1995,Drive In Drive Out,1
08.29.1995,Dancing Nancies,1
08.29.1995,Warehouse,1
08.29.1995,The Song That Jane Likes,1
08.29.1995,What Would You Say,2
08.29.1995,Lover Lay Down,1
08.29.1995,Say Goodbye,2
08.29.1995,Jimi Thing,1
08.29.1995,Rhyme & Reason,1
08.29.1995,Two Step,1
08.29.1995,Ants Marching,1
08.29.1995,Seek Up,1
08.29.1995,All Along the Watchtower,1
08.31.1995,The Best of What's Around,1
08.31.1995,Drive In Drive Out,1
08.31.1995,Proudest Monkey,1
08.31.1995,Satellite,1
08.31.1995,Tripping Billies,2
08.31.1995,Dancing Nancies,1
08.31.1995,Warehouse,1
08.31.1995,Granny,17
08.31.1995,Recently,3
08.31.1995,#41,8
08.31.1995,Jimi Thing,1
08.31.1995,Rhyme & Reason,1
08.31.1995,Lover Lay Down,1
08.31.1995,Minarets,4
08.31.1995,Two Step,1
08.31.1995,Ants Marching,1
08.31.1995,All Along the Watchtower,1
09.01.1995,The Best of What's Around,1
09.01.1995,Proudest Monkey,1
09.01.1995,Satellite,1
09.01.1995,Drive In Drive Out,1
09.01.1995,Minarets,1
09.01.1995,Tripping Billies,1
09.01.1995,Dancing Nancies,1
09.01.1995,Warehouse,1
09.01.1995,Say Goodbye,2
09.01.1995,#41,1
09.01.1995,Jimi Thing,1
09.01.1995,Rhyme & Reason,1
09.01.1995,Exodus,7
09.01.1995,Ants Marching,1
09.01.1995,Typical Situation,4
09.02.1995,The Best of What's Around,1
09.02.1995,Minarets,1
09.02.1995,Proudest Monkey,1
09.02.1995,Satellite,1
09.02.1995,One Sweet World,5
09.02.1995,Dancing Nancies,1
09.02.1995,Lie in Our Graves,4
09.02.1995,Warehouse,1
09.02.1995,Lover Lay Down,2
09.02.1995,#41,1
09.02.1995,Jimi Thing,1
09.02.1995,Rhyme & Reason,1
09.02.1995,#36,9
09.02.1995,Ants Marching,1
09.02.1995,Angel From Montgomery,26
09.02.1995,Tripping Billies,1
10.01.1995,Recently,1
10.01.1995,Drive In Drive Out,1
10.01.1995,Tripping Billies,1
10.01.1995,What Would You Say,1
10.01.1995,All Along the Watchtower,1
10.01.1995,Ants Marching,1
10.04.1995,Seek Up,6
10.04.1995,Tripping Billies,1
10.04.1995,Deed Is Done,1
10.04.1995,Drive In Drive Out,1
10.04.1995,Proudest Monkey,2
10.04.1995,Satellite,2
10.04.1995,Crash Into Me,1
10.04.1995,Granny,5
10.04.1995,Too Much,-1
10.04.1995,#41,2
10.04.1995,So Much to Say,59
10.04.1995,Jimi Thing,2
10.04.1995,Ants Marching,1
12.05.1995,Too Much,1
12.05.1995,Crash Into Me,1
12.05.1995,Drive In Drive Out,1
12.05.1995,Proudest Monkey,1
12.05.1995,Satellite,1
12.05.1995,So Much to Say,1
12.05.1995,Jimi Thing,1
12.05.1995,Lie in Our Graves,4
12.05.1995,Recently,2
12.05.1995,Tripping Billies,1
12.05.1995,Typical Situation,3
12.05.1995,Ants Marching,1
12.07.1995,Too Much,1
12.07.1995,Drive In Drive Out,1
12.07.1995,Satellite,1
12.07.1995,Ants Marching,1
12.13.1995,Satellite,1
12.15.1995,Recently,3
12.15.1995,Satellite,1
12.15.1995,Too Much,2
12.15.1995,Ants Marching,2
12.27.1995,Too Much,1
12.27.1995,Proudest Monkey,4
12.27.1995,Satellite,1
12.27.1995,Rhyme & Reason,7
12.27.1995,Little Thing,-1
12.27.1995,So Much to Say,4
12.27.1995,Crash Into Me,4
12.27.1995,Warehouse,7
12.27.1995,Dancing Nancies,7
12.27.1995,Drive In Drive Out,3
12.27.1995,Ants Marching,1
12.27.1995,Jimi Thing,4
12.27.1995,Recently,1
12.27.1995,Tripping Billies,4
12.27.1995,Typical Situation,4
12.27.1995,All Along the Watchtower,6
12.28.1995,Tripping Billies,1
12.28.1995,Crash Into Me,1
12.28.1995,Too Much,1
12.28.1995,Proudest Monkey,1
12.28.1995,Satellite,1
12.28.1995,One Sweet World,9
12.28.1995,Rhyme & Reason,1
12.28.1995,Little Thing,1
12.28.1995,Warehouse,1
12.28.1995,Dancing Nancies,1
12.28.1995,Cry Freedom,128
12.28.1995,Jimi Thing,1
12.28.1995,Two Step,11
12.28.1995,All Along the Watchtower,1
12.28.1995,Christmas Song,38
12.28.1995,Typical Situation,1
12.28.1995,Ants Marching,1
12.29.1995,Tripping Billies,1
12.29.1995,Crash Into Me,1
12.29.1995,#41,7
12.29.1995,Drive In Drive Out,2
12.29.1995,Proudest Monkey,1
12.29.1995,Satellite,1
12.29.1995,One Sweet World,1
12.29.1995,Too Much,1
12.29.1995,Dancing Nancies,1
12.29.1995,Warehouse,1
12.29.1995,So Much to Say,2
12.29.1995,Cry Freedom,1
12.29.1995,Jimi Thing,1
12.29.1995,Two Step,1
12.29.1995,Rhyme & Reason,1
12.29.1995,Little Thing,1
12.29.1995,All Along the Watchtower,1
12.29.1995,Christmas Song,1
12.29.1995,Ants Marching,1
12.30.1995,Tripping Billies,1
12.30.1995,Crash Into Me,1
12.30.1995,Too Much,1
12.30.1995,#41,1
12.30.1995,Proudest Monkey,1
12.30.1995,Satellite,1
12.30.1995,Drive In Drive Out,1
12.30.1995,Dancing Nancies,1
12.30.1995,Warehouse,1
12.30.1995,Rhyme & Reason,1
12.30.1995,Little Thing,1
12.30.1995,Jimi Thing,1
12.30.1995,Two Step,1
12.30.1995,All Along the Watchtower,1
12.30.1995,Christmas Song,1
12.30.1995,Ants Marching,1
04.20.1996,Too Much,1
04.20.1996,So Much to Say,1
04.29.1996,Crash Into Me,2
04.29.1996,Granny,11
04.29.1996,#41,3
04.29.1996,Two Step,2
04.29.1996,Cry Freedom,4
04.29.1996,Too Much,1
04.29.1996,Dancing Nancies,2
04.29.1996,So Much to Say,1
04.29.1996,Little Thing,2
04.30.1996,Two Step,1
04.30.1996,Say Goodbye,16
04.30.1996,Richmond Jam,-1
04.30.1996,Too Much,1
04.30.1996,So Much to Say,1
04.30.1996,Crash Into Me,1
04.30.1996,#41,1
04.30.1996,Lie in Our Graves,11
04.30.1996,Jimi Thing,3
04.30.1996,Ants Marching,3
04.30.1996,Proudest Monkey,3
04.30.1996,Satellite,3
04.30.1996,Cry Freedom,1
04.30.1996,Drive In Drive Out,3
04.30.1996,Typical Situation,6
04.30.1996,Little Thing,1
04.30.1996,All Along the Watchtower,3
04.30.1996,Tripping Billies,3
05.03.1996,Drive In Drive Out,1
05.03.1996,Crash Into Me,1
05.03.1996,So Much to Say,1
05.03.1996,Two Step,1
05.03.1996,#41,1
05.03.1996,Jimi Thing,1
05.03.1996,Lie in Our Graves,1
05.03.1996,#36,16
05.03.1996,Dancing Nancies,2
05.03.1996,Ants Marching,1
05.03.1996,Proudest Monkey,1
05.03.1996,Satellite,1
05.03.1996,Too Much,1
05.03.1996,Recently,4
05.03.1996,Typical Situation,1
05.03.1996,All Along the Watchtower,1
05.05.1996,Drive In Drive Out,1
05.05.1996,Two Step,1
05.05.1996,#41,1
05.05.1996,Crash Into Me,1
05.05.1996,#36,1
05.05.1996,Jimi Thing,1
05.05.1996,Too Much,1
05.05.1996,Ants Marching,1
05.05.1996,All Along the Watchtower,1
05.05.1996,Tripping Billies,2
05.06.1996,Tripping Billies,1
05.06.1996,Two Step,1
05.06.1996,Drive In Drive Out,1
05.06.1996,Crash Into Me,1
05.06.1996,#41,1
05.06.1996,What Would You Say,16
05.06.1996,Say Goodbye,3
05.06.1996,So Much to Say,2
05.06.1996,Proudest Monkey,2
05.06.1996,Satellite,2
05.06.1996,Too Much,1
05.06.1996,Granny,4
05.06.1996,Lie in Our Graves,2
05.06.1996,#36,1
05.06.1996,Ants Marching,1
05.06.1996,Little Thing,3
05.06.1996,Typical Situation,2
05.06.1996,All Along the Watchtower,1
05.08.1996,Drive In Drive Out,1
05.08.1996,#41,1
05.09.1996,Tripping Billies,2
05.09.1996,Two Step,2
05.09.1996,Crash Into Me,2
05.09.1996,Drive In Drive Out,1
05.09.1996,So Much to Say,2
05.09.1996,#41,1
05.09.1996,Recently,4
05.09.1996,Satellite,2
05.09.1996,Jimi Thing,3
05.09.1996,Too Much,2
05.09.1996,Lie in Our Graves,2
05.09.1996,Say Goodbye,2
05.09.1996,#36,2
05.09.1996,Ants Marching,2
05.09.1996,Little Thing,2
05.09.1996,All Along the Watchtower,2
05.10.1996,Drive In Drive Out,1
05.10.1996,#41,1
05.10.1996,Two Step,1
05.10.1996,Crash Into Me,1
05.10.1996,Dancing Nancies,5
05.10.1996,Warehouse,9
05.10.1996,Say Goodbye,1
05.10.1996,Jimi Thing,1
05.10.1996,So Much to Say,1
05.10.1996,Too Much,1
05.10.1996,Lie in Our Graves,1
05.10.1996,#36,1
05.10.1996,All Along the Watchtower,1
05.10.1996,Little Thing,1
05.10.1996,The Best of What's Around,20
05.10.1996,Ants Marching,1
05.11.1996,Drive In Drive Out,1
05.11.1996,#41,1
05.11.1996,Two Step,1
05.11.1996,Crash Into Me,1
05.11.1996,Tripping Billies,2
05.11.1996,One Sweet World,10
05.11.1996,Say Goodbye,1
05.11.1996,Jimi Thing,1
05.11.1996,So Much to Say,1
05.11.1996,Proudest Monkey,4
05.11.1996,Satellite,2
05.11.1996,Too Much,1
05.11.1996,Granny,4
05.11.1996,Cry Freedom,7
05.11.1996,#36,1
05.11.1996,Ants Marching,1
05.11.1996,Little Thing,1
05.11.1996,Exodus,23
05.11.1996,All Along the Watchtower,1
05.14.1996,One Sweet World,1
05.14.1996,Drive In Drive Out,1
05.14.1996,#41,1
05.14.1996,Two Step,1
05.14.1996,Crash Into Me,1
05.14.1996,Dancing Nancies,2
05.14.1996,Warehouse,2
05.14.1996,Cry Freedom,1
05.14.1996,Too Much,1
05.14.1996,So Much to Say,1
05.14.1996,Say Goodbye,1
05.14.1996,Tripping Billies,1
05.14.1996,Recently,3
05.14.1996,All Along the Watchtower,1
05.14.1996,Little Thing,1
05.14.1996,Ants Marching,1
05.15.1996,The Best of What's Around,3
05.15.1996,Two Step,1
05.15.1996,Crash Into Me,1
05.15.1996,Drive In Drive Out,1
05.15.1996,The Song That Jane Likes,27
05.15.1996,Granny,2
05.15.1996,Jimi Thing,2
05.15.1996,Too Much,1
05.15.1996,Proudest Monkey,2
05.15.1996,Satellite,2
05.15.1996,Say Goodbye,1
05.15.1996,So Much to Say,1
05.15.1996,Lie in Our Graves,3
05.15.1996,#36,2
05.15.1996,Ants Marching,1
05.15.1996,Typical Situation,6
05.15.1996,All Along the Watchtower,1
05.16.1996,Too Much,1
05.22.1996,Tripping Billies,3
05.22.1996,Two Step,2
05.22.1996,Crash Into Me,2
05.22.1996,#41,3
05.22.1996,Drive In Drive Out,2
05.22.1996,Ants Marching,2
05.23.1996,#41,1
05.23.1996,Two Step,1
05.23.1996,Crash Into Me,1
05.23.1996,Too Much,2
05.23.1996,All Along the Watchtower,3
05.23.1996,Ants Marching,1
05.25.1996,Drive In Drive Out,2
05.25.1996,Two Step,1
05.25.1996,Crash Into Me,1
05.25.1996,Too Much,1
05.25.1996,All Along the Watchtower,1
05.25.1996,Ants Marching,1
05.26.1996,#41,2
05.26.1996,Drive In Drive Out,1
05.26.1996,Two Step,1
05.26.1996,Crash Into Me,1
05.26.1996,Tripping Billies,3
05.26.1996,All Along the Watchtower,1
05.26.1996,Ants Marching,1
05.29.1996,Tripping Billies,1
05.29.1996,Two Step,1
05.29.1996,Crash Into Me,1
05.29.1996,So Much to Say,6
05.29.1996,Dancing Nancies,7
05.29.1996,Warehouse,7
05.29.1996,Jimi Thing,6
05.29.1996,Too Much,2
05.29.1996,#41,1
05.29.1996,Say Goodbye,6
05.29.1996,Recently,7
05.29.1996,Drive In Drive Out,1
05.29.1996,#36,6
05.29.1996,Ants Marching,1
05.29.1996,Satellite,6
05.29.1996,Typical Situation,6
05.29.1996,The Best of What's Around,6
05.29.1996,All Along the Watchtower,1
05.30.1996,#41,1
05.30.1996,Dancing Nancies,1
05.30.1996,Warehouse,1
05.30.1996,Two Step,1
05.30.1996,Crash Into Me,1
05.30.1996,Say Goodbye,1
05.30.1996,Lie in Our Graves,7
05.30.1996,Drive In Drive Out,1
05.30.1996,Proudest Monkey,7
05.30.1996,Satellite,1
05.30.1996,Too Much,1
05.30.1996,Granny,7
05.30.1996,Jimi Thing,1
05.30.1996,All Along the Watchtower,1
05.30.1996,Typical Situation,1
05.30.1996,Ants Marching,1
06.04.1996,#41,1
06.04.1996,Say Goodbye,1
06.04.1996,Drive In Drive Out,1
06.04.1996,Two Step,1
06.04.1996,Crash Into Me,1
06.04.1996,Too Much,1
06.04.1996,Deed Is Done,30
06.04.1996,So Much to Say,1
06.04.1996,Cry Freedom,10
06.04.1996,Jimi Thing,1
06.04.1996,Lie in Our Graves,2
06.04.1996,Proudest Monkey,2
06.04.1996,Satellite,2
06.04.1996,The Song That Jane Likes,1
06.04.1996,#36,3
06.04.1996,Ants Marching,1
06.04.1996,Dancing Nancies,1
06.04.1996,Warehouse,1
06.04.1996,All Along the Watchtower,1
06.05.1996,The Best of What's Around,2
06.05.1996,#41,1
06.05.1996,Say Goodbye,1
06.05.1996,Two Step,1
06.05.1996,Crash Into Me,1
06.05.1996,Jimi Thing,1
06.05.1996,Seek Up,22
06.05.1996,Too Much,1
06.05.1996,Dancing Nancies,1
06.05.1996,Warehouse,1
06.05.1996,Lie in Our Graves,1
06.05.1996,Drive In Drive Out,1
06.05.1996,Ants Marching,1
06.05.1996,Granny,3
06.05.1996,Tripping Billies,2
06.07.1996,#41,1
06.07.1996,Say Goodbye,1
06.07.1996,Recently,3
06.07.1996,Two Step,1
06.07.1996,Crash Into Me,1
06.07.1996,Too Much,1
06.07.1996,Cry Freedom,2
06.07.1996,So Much to Say,2
06.07.1996,The Song That Jane Likes,2
06.07.1996,Watermelon Smilin' on the Vine,-1
06.07.1996,Proudest Monkey,2
06.07.1996,Angel From Montgomery,35
06.07.1996,Drive In Drive Out,1
06.07.1996,#36,2
06.07.1996,Ants Marching,1
06.07.1996,Tripping Billies,1
06.07.1996,All Along the Watchtower,2
06.08.1996,The Best of What's Around,2
06.08.1996,Two Step,1
06.08.1996,Crash Into Me,1
06.08.1996,Jimi Thing,2
06.08.1996,#41,1
06.08.1996,Granny,2
06.08.1996,Too Much,1
06.08.1996,The Song That Jane Likes,1
06.08.1996,Cry Freedom,1
06.08.1996,So Much to Say,1
06.08.1996,Satellite,3
06.08.1996,Seek Up,2
06.08.1996,Drive In Drive Out,1
06.08.1996,#36,1
06.08.1996,Ants Marching,1
06.08.1996,All Along the Watchtower,1
06.09.1996,#41,1
06.09.1996,Say Goodbye,2
06.09.1996,Two Step,1
06.09.1996,Crash Into Me,1
